Symptom_EN,Symptom_FR,Symptom_AR,Illness_EN,Illness_FR,Illness_AR,Recommended_Medication,Doctor_Specialty,Serious
nausea,nausée,غثيان,migraine,migraine,صداع نصفي,ibuprofen,Neurologist,True
shortness of breath,essoufflement,ضيق في التنفس,asthma,asthme,الربو,albuterol,Pulmonologist,True
cough,toux,سعال,asthma,asthme,الربو,montelukast,Pulmonologist,True
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,hydrocortisone,Dermatologist,False
nausea,nausée,غثيان,food poisoning,intoxication alimentaire,تسمم غذائي,ondansetron,Gastroenterologist,True
fever,,,sinusitis,,,decongestants,General Practitioner,False
fatigue,,,arthritis,,,methotrexate,Rheumatologist,False
itching,,,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
fatigue,,,bronchitis,,,cough syrup,General Practitioner,False
cough,toux,سعال,influenza,,,acetaminophen,General Practitioner,False
chest pain,,,asthma,asthme,الربو,albuterol,Pulmonologist,True
fatigue,,,influenza,,,acetaminophen,General Practitioner,False
fever,,,influenza,,,zanamivir,General Practitioner,False
fever,,,strep throat,,,penicillin,General Practitioner,False
headache,,,sinusitis,,,amoxicillin,General Practitioner,False
rash,,,strep throat,,,amoxicillin,General Practitioner,False
swelling,,,arthritis,,,naproxen,Rheumatologist,False
fatigue,,,bronchitis,,,antibiotics,General Practitioner,False
sore throat,,,common cold,,,pseudoephedrine,General Practitioner,False
fever,,,strep throat,,,amoxicillin,General Practitioner,False
itching,,,eczema,eczéma,الأكزيما,hydrocortisone,Dermatologist,False
nausea,nausée,غثيان,migraine,migraine,صداع نصفي,ibuprofen,Neurologist,True
fever,,,common cold,,,pseudoephedrine,General Practitioner,False
cough,toux,سعال,asthma,asthme,الربو,albuterol,Pulmonologist,True
fatigue,,,bronchitis,,,cough syrup,General Practitioner,False
cough,toux,سعال,bronchitis,,,cough syrup,General Practitioner,False
chest pain,,,bronchitis,,,antibiotics,General Practitioner,False
swelling,,,arthritis,,,naproxen,Rheumatologist,False
fatigue,,,arthritis,,,ibuprofen,Rheumatologist,False
chest pain,,,asthma,asthme,الربو,montelukast,Pulmonologist,True
fatigue,,,bronchitis,,,antibiotics,General Practitioner,False
chest pain,,,bronchitis,,,antibiotics,General Practitioner,False
nausea,nausée,غثيان,food poisoning,intoxication alimentaire,تسمم غذائي,ondansetron,Gastroenterologist,True
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,hydrocortisone,Dermatologist,False
cough,toux,سعال,common cold,,,acetaminophen,General Practitioner,False
cough,toux,سعال,asthma,asthme,الربو,albuterol,Pulmonologist,True
swelling,,,arthritis,,,methotrexate,Rheumatologist,False
shortness of breath,essoufflement,ضيق في التنفس,asthma,asthme,الربو,montelukast,Pulmonologist,True
cough,toux,سعال,asthma,asthme,الربو,albuterol,Pulmonologist,True
fever,,,strep throat,,,ibuprofen,General Practitioner,False
itching,,,eczema,eczéma,الأكزيما,moisturizer,Dermatologist,False
swelling,,,arthritis,,,ibuprofen,Rheumatologist,False
fever,,,common cold,,,acetaminophen,General Practitioner,False
chest pain,,,bronchitis,,,antibiotics,General Practitioner,False
rash,,,eczema,eczéma,الأكزيما,moisturizer,Dermatologist,False
cough,toux,سعال,asthma,asthme,الربو,montelukast,Pulmonologist,True
diarrhea,,,food poisoning,intoxication alimentaire,تسمم غذائي,loperamide,Gastroenterologist,True
sore throat,,,strep throat,,,ibuprofen,General Practitioner,False
vomiting,,,migraine,migraine,صداع نصفي,sumatriptan,Neurologist,True
sneezing,,,common cold,,,pseudoephedrine,General Practitioner,False
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
fever,,,influenza,,,acetaminophen,General Practitioner,False
joint pain,,,arthritis,,,ibuprofen,Rheumatologist,False
cough,toux,سعال,asthma,asthme,الربو,montelukast,Pulmonologist,True
cough,toux,سعال,bronchitis,,,cough syrup,General Practitioner,False
sensitivity to light,,,migraine,migraine,صداع نصفي,sumatriptan,Neurologist,True
itching,,,eczema,eczéma,الأكزيما,moisturizer,Dermatologist,False
fever,,,strep throat,,,ibuprofen,General Practitioner,False
chest pain,,,asthma,asthme,الربو,albuterol,Pulmonologist,True
rash,,,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
muscle pain,,,influenza,,,oseltamivir,General Practitioner,False
itching,,,eczema,eczéma,الأكزيما,moisturizer,Dermatologist,False
fever,,,strep throat,,,ibuprofen,General Practitioner,False
nausea,nausée,غثيان,migraine,migraine,صداع نصفي,ibuprofen,Neurologist,True
cough,toux,سعال,bronchitis,,,ibuprofen,General Practitioner,False
diarrhea,,,food poisoning,intoxication alimentaire,تسمم غذائي,loperamide,Gastroenterologist,True
nausea,nausée,غثيان,food poisoning,intoxication alimentaire,تسمم غذائي,ondansetron,Gastroenterologist,True
sore throat,,,strep throat,,,penicillin,General Practitioner,False
nausea,nausée,غثيان,migraine,migraine,صداع نصفي,sumatriptan,Neurologist,True
swelling,,,arthritis,,,naproxen,Rheumatologist,False
fever,,,sinusitis,,,decongestants,General Practitioner,False
sore throat,,,common cold,,,ibuprofen,General Practitioner,False
fever,,,strep throat,,,amoxicillin,General Practitioner,False
fatigue,,,arthritis,,,methotrexate,Rheumatologist,False
vomiting,,,food poisoning,intoxication alimentaire,تسمم غذائي,hydration therapy,Gastroenterologist,True
sore throat,,,common cold,,,pseudoephedrine,General Practitioner,False
fever,,,strep throat,,,penicillin,General Practitioner,False
cough,toux,سعال,influenza,,,zanamivir,General Practitioner,False
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,moisturizer,Dermatologist,False
headache,,,sinusitis,,,decongestants,General Practitioner,False
dry skin,peau sèche,جفاف الجلد,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
diarrhea,,,food poisoning,intoxication alimentaire,تسمم غذائي,ondansetron,Gastroenterologist,True
fatigue,,,bronchitis,,,ibuprofen,General Practitioner,False
swelling,,,arthritis,,,ibuprofen,Rheumatologist,False
fever,,,common cold,,,acetaminophen,General Practitioner,False
cough,toux,سعال,bronchitis,,,ibuprofen,General Practitioner,False
fatigue,,,arthritis,,,naproxen,Rheumatologist,False
headache,,,sinusitis,,,nasal spray,General Practitioner,False
sore throat,,,strep throat,,,amoxicillin,General Practitioner,False
sore throat,,,strep throat,,,penicillin,General Practitioner,False
fever,,,influenza,,,zanamivir,General Practitioner,False
shortness of breath,essoufflement,ضيق في التنفس,asthma,asthme,الربو,montelukast,Pulmonologist,True
fever,,,strep throat,,,ibuprofen,General Practitioner,False
shortness of breath,essoufflement,ضيق في التنفس,asthma,asthme,الربو,montelukast,Pulmonologist,True
nausea,nausée,غثيان,migraine,migraine,صداع نصفي,ibuprofen,Neurologist,True
nausea,nausée,غثيان,food poisoning,intoxication alimentaire,تسمم غذائي,hydration therapy,Gastroenterologist,True
itching,,,eczema,eczéma,الأكزيما,antihistamines,Dermatologist,False
