title,start,end,assignedDoctors,assignedNurses,shift,description,createdBy,rating
Morning Shift - 2025-05-24,2025-05-24T08:00:00,2025-05-24T16:00:00,67ff7abe42fc75d02c9372ed|681a58b990422788183176ce,681e6907d464b5ea6ad94241,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.28
Evening Shift - 2025-05-05,2025-05-05T16:00:00,2025-05-06T00:00:00,681a57e490422788183176b8,681e6930d464b5ea6ad94260|681e68edd464b5ea6ad9423b|681a5a6090422788183176f6,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.32
Evening Shift - 2025-05-21,2025-05-21T16:00:00,2025-05-22T00:00:00,681a8935d13b7e8433e574a1|681a8978d13b7e8433e574a9,681e69d3d464b5ea6ad9429b,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,4.49
Evening Shift - 2025-05-03,2025-05-03T16:00:00,2025-05-04T00:00:00,681a57fd90422788183176be,681e689ad464b5ea6ad94227|681e6994d464b5ea6ad94276,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.34
Night Shift - 2025-05-12,2025-05-12T00:00:00,2025-05-12T08:00:00,681a58b990422788183176ce|681a517490a1818ffb8fd392,681e69a9d464b5ea6ad9427c|67ff8a6715b50eb09c14b762|681e689ad464b5ea6ad94227,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,5.0
Night Shift - 2025-05-06,2025-05-06T00:00:00,2025-05-06T08:00:00,67ff7abe42fc75d02c9372ed,681a5a6090422788183176f6|681a590590422788183176dc|681e697bd464b5ea6ad94272,Night,Auto-generated event for training,67c6383e777903bd129b7eef,3.18
Evening Shift - 2025-05-27,2025-05-27T16:00:00,2025-05-28T00:00:00,681a57199042278818317694,681e6994d464b5ea6ad94276|681e68edd464b5ea6ad9423b|681e6930d464b5ea6ad94260,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.19
Night Shift - 2025-05-25,2025-05-25T00:00:00,2025-05-25T08:00:00,681a575690422788183176a0|681a57b690422788183176b2,681a590590422788183176dc,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.38
Night Shift - 2025-05-07,2025-05-07T00:00:00,2025-05-07T08:00:00,67f43cf889b1fc291c612c53,681e69d3d464b5ea6ad9429b|681e69a9d464b5ea6ad9427c|67f4401489b1fc291c612c91,Night,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.89
Night Shift - 2025-05-25,2025-05-25T00:00:00,2025-05-25T08:00:00,681a579090422788183176aa,67ff8a6715b50eb09c14b762|681e695dd464b5ea6ad9426c,Night,Auto-generated event for training,67c6383e777903bd129b7eef,3.33
Evening Shift - 2025-05-04,2025-05-04T16:00:00,2025-05-05T00:00:00,681a57e490422788183176b8|681a8978d13b7e8433e574a9|681a575690422788183176a0,681e697bd464b5ea6ad94272|681e695dd464b5ea6ad9426c,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.08
Evening Shift - 2025-05-08,2025-05-08T16:00:00,2025-05-09T00:00:00,681a579090422788183176aa|681a53599042278818317651,681a5a6090422788183176f6|681e6946d464b5ea6ad94266,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.48
Night Shift - 2025-05-14,2025-05-14T00:00:00,2025-05-14T08:00:00,681a8978d13b7e8433e574a9|681a56eb904227881831768e|681a579090422788183176aa,681a5a6090422788183176f6,Night,Auto-generated event for training,67c6383e777903bd129b7eef,2.67
Morning Shift - 2025-05-07,2025-05-07T08:00:00,2025-05-07T16:00:00,681a57e490422788183176b8|67cf4b3435b8ba51b0af1282,67f4402f89b1fc291c612c97,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,2.99
Morning Shift - 2025-05-25,2025-05-25T08:00:00,2025-05-25T16:00:00,67cf4b3435b8ba51b0af1282|681a57fd90422788183176be,681e6930d464b5ea6ad94260|681e69a9d464b5ea6ad9427c|681e68cbd464b5ea6ad94233,Morning,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,4.95
Evening Shift - 2025-05-25,2025-05-25T16:00:00,2025-05-26T00:00:00,681a575690422788183176a0|681a57199042278818317694|681a517490a1818ffb8fd392,681a590590422788183176dc|67f4401489b1fc291c612c91|681e695dd464b5ea6ad9426c,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,1.5
Evening Shift - 2025-05-02,2025-05-02T16:00:00,2025-05-03T00:00:00,681a512190a1818ffb8fd382|681a53599042278818317651,681a5a6090422788183176f6|681e69a9d464b5ea6ad9427c,Evening,Auto-generated event for training,6804fdf4aa4bf729f8a0e2d5,3.44
Evening Shift - 2025-05-17,2025-05-17T16:00:00,2025-05-18T00:00:00,67cf4b3435b8ba51b0af1282|67f4546589b1fc291c613160,681e697bd464b5ea6ad94272|67ff8a6715b50eb09c14b762|681e6994d464b5ea6ad94276,Evening,Auto-generated event for training,67c6383e777903bd129b7eef,1.83
